summonerId,puuid
-JU1fxa6LjxLmb5NhrEgJuIc1XEBtBad-hTYVQlcSkfJ7gg,erZ2yV4IK9np41nIqZW723DLxvHEX5gUlh7SsRhh9nmwMC3oJPCXwU5fSUa5JT4x5PUogPsWioYXXg
59190277,JxV6BjYeh6WOaGkzYAXcKAhXaSNr7jUAUA-jWj9M4e9F4B9kt-5SdeSN1b71yMUZt8CcZ0KwMCJpvg
60xVkxSxTe6Sx0xCGJagPmn3PBHoRccPc4uPuN45Ydn6uMY,JxV6BjYeh6WOaGkzYAXcKAhXaSNr7jUAUA-jWj9M4e9F4B9kt-5SdeSN1b71yMUZt8CcZ0KwMCJpvg
7sVrlGc6IkabhJVqcQFi5b6twOVzwdPUBfAvrQkTx62KwZ8,EKRwLAaPr9CJaiQJhXOQd2s_rgnO6mSHEX9f1FhCCK5VkW2WapPWm2Ez8iJGjFo4Pn2v18Bhd9qrNA
NTZ-CjQ_CVTXUJSs48y5eEkq8_vYRjV1VQXPAcHrBNNf6vZx6VDvQw5AyQ,idbA52rq35IK-0d_MuybKPBiBdnwNG3PP7TBhp8WfZ6JzenTVkA7WIWnKqgFzG8Z0fkgbZx9S4AQeA
CoiWrPEtqy725nN8j2J6mIMy6kwgOozrgDK4vNfADrUvh62gtdWTgpfQfw,si-MkCmcXC1sw5WA1OIqgT5pgThMtnvFoHSg_c_reZF3bM_C124H50SNvMaysGqlytE_dLAsw7u3LA
P-Jy26-7ty836GlDwRN6eAHM7X3l4PXyZ_qQkjr5IqISQ17xvY44S2dOcg,9fi0XxRJPLQ-S6Ayqr0CHhsgHKJ6WVR9Wn0PTuE-Z1ZIXlHMy_RiROZSNamAuzHaDSFHNx2IkeZA6g
FVmB-Xp7I9d_gFvXPyWwayQF3df70FC1eKwG-cVE-DjBTQMr-P8Caiq0wg,ECPwWQ-Frka8Al02_jsb0iQHdlV7t3BAjZXoL6NFWLroMNDFecWXvjUZ7EjSyaOewFza6A2_nWEUng
8toSEaKxLTwIZN2-gLWylEi3IDsuA-lEl3to9Agm-x0XiO4byiGhgRoKWQ,oZ2hiSh92G7QkTmlTqt3W6A7EtUZJsrRHKw7YKUmOOTIDDrAJAYpro96RwEuyE5el2-FPnunCytn4A
VC1s4HkRuwbiNpkEv77KrKjzd1rhIiaEfCCLpcaEug1n9QU,-ggEYdvC7G_51NKlk15ueu1Oydllaojkg5J6wfVeJC-WVAsx-esiWG1-qTIIPKFGHqSb84NEhilfRQ
4Jec6VJHZJPftdPGp5aJA00gqDt6ufgy7jFqtsNpyg-HOITUZd0uFxYcog,JBX0d69ZrQcXqRWj7TZmuPceMIHHRSFIQgVhZYSq5L0GSFiO2eG2a_9aQu9F8VG_6XBD3EWnMwHApA
3101569294411584,JBX0d69ZrQcXqRWj7TZmuPceMIHHRSFIQgVhZYSq5L0GSFiO2eG2a_9aQu9F8VG_6XBD3EWnMwHApA
mM-d1_ZFf2PRtz_Es3IRSSHLjjQGB6oHNRSKT-02XC6sBspwp2zXMDAunA,eDzQmsNTVwI70XKE5BP3kBRHLzHXhnUS176agMk2xAzKRR27OGAfsH-qCP1RmxzAbhcgHels6MBS_Q
y4q0hgVrEc6uBPzcBcy_Jq_mXzPBw-9jWFSN8w_Te0QbY4I,GvK3Djhe3b9NvcmNQ6ceVzLMz24T6jMchI9qnFKW7X2JKnctaGhPHg_hJBCbLPzUNV5JgnaNHCGG_Q
11800767,GvK3Djhe3b9NvcmNQ6ceVzLMz24T6jMchI9qnFKW7X2JKnctaGhPHg_hJBCbLPzUNV5JgnaNHCGG_Q
n3InvqWSbT6GEINvy1smUIby_iDAhoQ3W2Au3aI6DJJAROnFQrVu45kYGw,6261lwlcn522r0gYmk5VnUYPbYm6Jlgu_JO3BYH8xBuTMAjpYQDrebBn1pfNkxQqfiCcyzxMYnug8Q
2-0xyqZGmDu6nZrk1mKSyMIrJvmtPVtJ-WxqBpmXu7hCv-I,Yi1tePY-w50ALtXKj9K9zLTNMwlcGmNPnv8D1pPWrlWBC7JzhAODR-kupzL8mgCiY09ZJy-e3tnlpA
ELH5UfWhi2qNTVr2Yfp9tFBgsT2XgLkiXWGQSRtHPJjhOzzgv_jjMoBKuw,neZ5hvpnJyedMMkJhihx5dTUU5JLYeMkIRHrV0lmP7zmGdx8waykiUVO8jWSGECNQdAbW1P719xifQ
luwnnrj5c8Jq33GlodOxOQAv1AcvLu93ErmkhCSC1OHqjsb3,mgQ8FWf7TUBkLy3Cl7sWm5qLEFug3Z6Fz4po9ukI3ScgFXeSKzxVT6rgs1nQUNzlE8YJw6zJpLJedQ
YdmKyt2j5mpycHRGXksZ50yCcoj8D2vJ47vGiWMlUgVukIFPTruIXbndhQ,4plpCV_u4dFLNDGJ6oRbgtVQI1gW-yFZVawk02kcmby_YDLOmpnmuFE-Wy1YZ7C44i2NVCJBQICNPw
