summonerId,puuid
_NslUYCoeKftcbb0Xwsnkq-Y-8xs-OZ8run9fdZSULa4qA,KqwXZsWwCgE5nOtgDveV0MsDDNS3mfi__jhOmP-koNbU75pmJacPXeyMm1A4Ph5jsltVQb1P7PLc0A
ZJyxgg2_i-fvAosOiAvL81v-8P-PC_L44NZCTQWgeBfjPw,XIAd7sgL86WSVa98Z2ekqsNBYRlyWjncuwVZyGtD1WZ8F81PJL7x6QNmvCAqpshKsWfflaqBQpvbTw
6hLgrQCt5PD8HdIZeVL8a0dWkPjaQAwb32suTvg6Tipu7ls,9hZQqixIFVs5zxkAmJNu_FuCK7pmZj1HQhpaJnZS6yyMyuDNufSWucLIFxw0p2Ac9xnA_OFXeNMUZw
6YZfAUCmx9PkyBx_M877e6Mw-NnAmKxyZ6vjzLkAvrddmrKC7efreATWAQ,y3KSAJHJkodC3Nx1wY-kv7CChGafGsNoC6LqBEM1RIQbNfcePS4bR-ioPXUDVX9tdaOiWO1PlPAw-A
3550127512700384,y3KSAJHJkodC3Nx1wY-kv7CChGafGsNoC6LqBEM1RIQbNfcePS4bR-ioPXUDVX9tdaOiWO1PlPAw-A
NRRRRQdDMcVSUGS1FZ-tlLCeUxGf1eFs83JghyGiBtFQ-tg,7fS6YeMI_kruw-jUNOL6laAVKE-ntxdlTNInLr245OwFZ0L-0egHIfzo5FuXNzOWgLYbnnYsRVDh1g
95833759,7fS6YeMI_kruw-jUNOL6laAVKE-ntxdlTNInLr245OwFZ0L-0egHIfzo5FuXNzOWgLYbnnYsRVDh1g
S8qCkE3XeR_qMkzoyq0C9D-jJjoxSrz8gtjDDucguBvwVoQ,QC0dyTrgfbKEWDpoEiNy_xO0f8bEsD3rIoKBmkS4V7N4z9fOaDQT4JlsV8jzZ2YHudKiAJmtPYgqew
pYOuvpazjyy9x59UQi2FK7OQAWJ9bB2YZYixTwbRnzXtmig,RbGhHaZq1H29nJiKQdxWpHFbcv1qF01eenQQap__v-OMtceu4SfIJHQxX_4Y1Vaj71Bcv_9mYz5pJQ
IXy0axiViOQ55M_j31bgejeyhgyad55-gwLVBW_RSIACjlU,B_Gu4je5hhW8id0rsJwbPYCgkoihd4OzktJ026C-naSPgr5Pnmxj9FZd_QMYNpNCMcOvATQOigHjrQ
XiE-P2g-xCFwsMn7opsNgE_Bwl2lUaeOxpuwWN1tRc-6xQ,J2LJgvFJP-YtsWOkUyQnFRivpKgqwtanuMOK6JUKR-7QkLpsqgsJf1lWoTeQTJ546DZcivD-7cVlkA
XVP4xA8TjceN-mlwI4HTMTIhomMeRbJzW5YNIWxBumGNxWk,XujfCYK-BogZf3zlgAMXfajClgqeREfcAVugpHQclD4znI0eh7okyqCKeLJnbfLrP2a3B-k8wcw9XQ
dhL22FkFDtZW5s8MeN240P87LLK0W7-st29-xtaP5c7Utio,ChEzAtLEr4YGkc_hZyyZLyuJIS_JiY5lqV4JNkSam7tZPe7WX_k7qsj0QOImX8mc_GB-kmWduxgiPw
y2ZBAduOHOgTs0Tb99iX2VAzBpapb-RUIlY_oEK7pppkDEk,_bUKBdhyEl7la-bYdSf9IthCvUBT0L3ZgtHliitknRAB-YbW-AZlNYqHC8eVqHgaUwz8APZPew7Nnw
clViOlzHeDC_wDYe3c9yqXRD7MFV1ugmdpRxUU_p1JgWIoA,uTpbTs9SQCTcFGDU1PBy-VyIncER2CiNsk5ZtNObsHA026pyNYKxNrxbb26yyNc1gYZ2HPVHsJpoaw
ptZeuO1rBvSaTH28doDAut4u6pe-5SjxmujO9hbb39OE6xM,1U3phiVGzkSkwOXenHisZnKE8XJ1-bubitN22pwcg6DZ_YNy_AeTmUPqekt4ke9IG98p6OS47bHqRg
mc0iotPgXazLGjgrR5sV7knjuHiKF-JFRGU_kLVG2jvIEQ,X8SJ7ypO00udTr1Hh7NHm5z1ovnIetJnsdR6Xl8hhkWAz9mLJFb-vb1S6KTar3RQZoffyBheSAzKEA
GFolzye9EzSUh6WuM5vNvy0KTercQAzpZuruTYPhmBVGFpVoEbEDTKQvvg,0JHMGP_AY2fwbJVqg5mspClZMPbyXV3QGVTNAXrZmUMaHTXfAz4ux9lSacfvZP4f4d-WSsM3YmgtLQ
GcUGXQAXdDjjoTrjHWxNyH5fpk-gZdomCYkwO9ORTJKPLiQ,D0twWG73r3cFE3NNnOwncFke6kkjL6_XhFsWClcgPMaqQZTznddfSbPjaVNs6Coykms6-utefQd-lA
tXi9BUi1i_IF2iSKWsge92clRdp4OMR2dTv6-5CXIVs-JQ,MJOL9veVOqq7Ybnd9eyhAVj0__OJxLFZan39CiADyC2vxZ9a5b0c8wTbX-lBFyH2eBRjQ8aqqOlZXw
HMEEwBFc0rGj8cgiAL23T0k_oJoPvObkZ2mehJ4lDMix2A,KTYcnyvxPv2epS0lb2zsG0Vh9M5B9Upec9AcktSW5mH39q-zurhFO9rCv7-SOwFEqXBXVa7AzhQciA
9698248,KTYcnyvxPv2epS0lb2zsG0Vh9M5B9Upec9AcktSW5mH39q-zurhFO9rCv7-SOwFEqXBXVa7AzhQciA
0Fcr1rpS3_DQ3TqVeCHK7LehnfpPldRno7ULqYK8zFbEZuC68WCV9N1rYg,hlclOTI9xPtlRqP-CKIGFk8Mqb_sEDEfAZGIzX7Jb01-lNXU_sR4LvLhtfRoyzFWCGPz5cBFWxYMGw
q31ekosXqfMTsD4S3PU2qpFall7mKxO3uVMRmTXApNw1BwxO,0t8vr8MgeOztzpWbvvc7_cUmBH1K8lrU9ZbxAJZGmDCblnDqbxoi6XKvDU4doX9JWiq_DnQgZ_vn0w
tigoPeYKaOYSdbfvj33kb7cOaKXiQzm7oS5iwZEL1jpm2w,xKqpeZp7VEmfRkpAwaWFZhOcGZl7A82HlvyWQfSWtk91cVY3_HnRitk3z0ZCcMgsJLbqrpPnr9smsg
ImlQ35nVSKBWILkYqiy3bUzv_KQrtpUeKphKbUg9nYdlDw,LnTlZYynraHBUYQGDl_U8eGl_qIGtc7loq6kBsH3vwYqG9hKDxg28Yb1YuXDq6s8DgVyExTlnm0Lgg
E_CnQayWq4Drpm1TaINrhyO0GT4veAB9ocJpt0FsPXWVr28,vbwjVDWFyAZAtipbiqIJaKUQo-cy8SR6mLvvVqXxdXxzskUcz09y3AODBl4exPxzLtTTiG2giAxMIA
42690224,vbwjVDWFyAZAtipbiqIJaKUQo-cy8SR6mLvvVqXxdXxzskUcz09y3AODBl4exPxzLtTTiG2giAxMIA
qX_hqbYch70R-qQGVGVxBcTlDG_goyEhrYvPeRqPvMQ04dk,4NJqwiTXEmDW2RJFZ92MZbTrcgTCLOpZin-hMc2W2gyOpxQ9xGTee6ktDhAoo40-YmTqEm4OIAVM1Q
HHQ3cK4ym63J0ZzmnQamTtGplSDotpp0ryxweD285JKPkXsm,SGVwz7BWY6PTjyz1oHQTmnchYHe6BkXAmm5OzZj5qZWPKEWQmIQfLMwWbCkoc3X-YFczoVlX2deEsg
oHRmw3ys3BdnT6KRbwoETTHxKaAgMHY7wdU1MCra3T8jk4rO_8GfU_OWFw,1zKy2HmlxT9GD8dxqgNbwBjf3-A0c568jYo7VXN5mU8y12xQYTURG1gls7juavfoXq-H3rgRZPX25Q
Env8BUKumy1xF9HcJ6gpdEEhPDN5sZOIF68yFKVDbwuiwPDd0y5ilv3WSw,rqY_8cUxl21mDW-m5dKH3PJzNdDp44_HLn1-koJknA9qCh-_gm8AUJy9Fn05zCsa6Wt4wOTPG7O_UA
uB52q592sKnpPv_uI-gfmhkw6MoOtNlazF3QT32YQplqEEBQML0bLfZaRA,1kR2mwlaZ2CG_9oqOUoWPqh2McF9vLpUGPmF63BjnY7QXTV0f5vpHPBHxWvN4Q2x_lESWXYv8NtCTA
DcfO3IJyrM-zb1WrcgzYOIWvVWIAthItSChb6-83FzmWZuc,Ux1ZrCTWVKjSh18h1j0YNKXTkYOHgCnAAFmGB-t1jzbQyEXi3LtfoK6mRKkavLgLZHKRzba-VdNtxA
kivyWI8RnnxXAt4X_cNS8xe-x1Fe__AWvL5ETKjRP1swkwL4mtRgz1G08A,vdQe5-0A14yE6FdfEZ-4BTlFoGZzqi9jVmTJRtJdgtfRJA4JLhWn5AUzyyWOtVrHhPq6IFwqE49ryQ
3099028973864224,vdQe5-0A14yE6FdfEZ-4BTlFoGZzqi9jVmTJRtJdgtfRJA4JLhWn5AUzyyWOtVrHhPq6IFwqE49ryQ
gUK12iyiBFP2Jxr4YupQpzG2fjR4Wz95-q3bQiEMV3vgIPM,4diDJKBQlu_STzKJrXP4HHQb-btLQuvY0RM0supOL713BO9Tl46KZtBM32WA5uhDWR2dhO8Q9XFhzQ
