summonerId,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
-JU1fxa6LjxLmb5NhrEgJuIc1XEBtBad-hTYVQlcSkfJ7gg,879,I,267,225,False,False,True,False
60xVkxSxTe6Sx0xCGJagPmn3PBHoRccPc4uPuN45Ydn6uMY,1046,I,164,106,True,False,False,False
7sVrlGc6IkabhJVqcQFi5b6twOVzwdPUBfAvrQkTx62KwZ8,895,I,155,111,False,False,True,False
NTZ-CjQ_CVTXUJSs48y5eEkq8_vYRjV1VQXPAcHrBNNf6vZx6VDvQw5AyQ,1429,I,375,314,True,False,False,True
CoiWrPEtqy725nN8j2J6mIMy6kwgOozrgDK4vNfADrUvh62gtdWTgpfQfw,995,I,189,144,False,False,False,False
P-Jy26-7ty836GlDwRN6eAHM7X3l4PXyZ_qQkjr5IqISQ17xvY44S2dOcg,1236,I,196,138,True,False,False,True
FVmB-Xp7I9d_gFvXPyWwayQF3df70FC1eKwG-cVE-DjBTQMr-P8Caiq0wg,912,I,144,113,False,False,True,False
8toSEaKxLTwIZN2-gLWylEi3IDsuA-lEl3to9Agm-x0XiO4byiGhgRoKWQ,1149,I,227,178,False,False,True,False
VC1s4HkRuwbiNpkEv77KrKjzd1rhIiaEfCCLpcaEug1n9QU,926,I,219,173,True,False,False,False
4Jec6VJHZJPftdPGp5aJA00gqDt6ufgy7jFqtsNpyg-HOITUZd0uFxYcog,1223,I,218,148,True,False,False,False
mM-d1_ZFf2PRtz_Es3IRSSHLjjQGB6oHNRSKT-02XC6sBspwp2zXMDAunA,1239,I,181,126,True,False,False,False
y4q0hgVrEc6uBPzcBcy_Jq_mXzPBw-9jWFSN8w_Te0QbY4I,861,I,230,189,False,False,True,True
n3InvqWSbT6GEINvy1smUIby_iDAhoQ3W2Au3aI6DJJAROnFQrVu45kYGw,997,I,351,301,False,False,False,False
2-0xyqZGmDu6nZrk1mKSyMIrJvmtPVtJ-WxqBpmXu7hCv-I,1030,I,134,86,False,False,True,False
ELH5UfWhi2qNTVr2Yfp9tFBgsT2XgLkiXWGQSRtHPJjhOzzgv_jjMoBKuw,944,I,120,83,False,False,False,True
luwnnrj5c8Jq33GlodOxOQAv1AcvLu93ErmkhCSC1OHqjsb3,1051,I,297,238,False,False,True,False
YdmKyt2j5mpycHRGXksZ50yCcoj8D2vJ47vGiWMlUgVukIFPTruIXbndhQ,1410,I,238,143,True,False,False,False
F0tyWwK6NZj69CV5ZtDtgCFpdbUpr965XsToGmRU0hiUsg,1064,I,311,242,True,False,False,True
q3ICj2lDLz3Wr71_IBI1KZbg7Sr_eAWF_c2HI0W90cChv8Q,1047,I,388,338,True,False,False,False
qc-2XOzfAgztqP1SgyZsLCKpMvtsXTCyMwiufDQBG1Q1KA,837,I,300,253,False,False,True,True
ohB-yyYgYLin-2_lAEBBuhE480160f3OilxnP3AlrEAnycv-PQJjVpyZsQ,846,I,134,92,False,False,False,False
3b66G1M87MMCCqR_i7gTExvlRXkz7r-_0OkFi5Yuo-NFtrM,865,I,210,178,False,False,True,False
kZUDpkMWq8KiVarLa37QHLV_eLiRDGg85_znw7j4Q0JwNg,1019,I,117,70,False,False,True,True
SRqW8hEF6ct6XF7U7HrTl3aGi3ZDUgHC_xdTLegFsPSLk-xJd7Pba4_HDg,858,I,142,107,False,False,True,True
3nUyv0tvz1Kb2LyWfFDkBTuuK0fpdyLtIbnUeTbkR44_BNpFcXUfOnjZcQ,1271,I,205,125,True,False,False,True
NBCYolRkln8SbaHHf0kPHnvYXGSjSq7H6Lmc6uaiYqqxQw,1423,I,307,182,True,False,False,False
eAgjnFettsa6oru7HJPRAXump5hjPU3Yd2wR5fmpPvJQpV4,905,I,140,89,True,False,False,False
n-f6XzmY7zfxoVT9sW5B-h4e8POtv4sSCwmPKSLj0zmrPYM,1416,I,474,391,True,False,False,True
kEkOykg7LSkXfYlMwS8zVlEf6378HPYrEei1Lk1e_qjlmrk,865,I,312,273,False,False,True,False
CG5Zz0_GwAHu1oY6Xg22gUzz6e3i7VQSMGtislZTQQYTi8Y,1340,I,379,268,True,False,False,True
lFrmUY6cj-xZkr2u29pF9saBoxc_Zc8IVKfPrNo7aI9EwfU,1058,I,205,158,False,False,True,True
ySoGjCSBO0Sz4MI464NTP-gdhFL9HxoK7e9cSewkccdr5A,831,I,308,296,False,False,True,False
oWM4zqalCzFbXpZwBkpkHi50af4C62rPEeZA2--pGmBFtVPTDxc8fCgKWw,909,I,330,303,False,False,True,True
Zm-zp-fGcWIbksWr5lUMD4rppB-oDhOxG7tzBCJNmpl1CyA,1140,I,175,112,False,False,False,False
vCTlxaxdxYh9APtX2xq99roQdud3yXB0h5-vQIYLBatYcrZseX1BfKZ1Wg,863,I,220,153,True,False,False,False
PMWFeA6z592tyxWDBmyxi6guJd-RIfQUa-MWvS2r4N1VXdw,1310,I,212,134,True,False,False,False
sYYWAGu8yCcSsiI1oUamscRHx7LJ2V5G6nIDe_Dxas8BDV6hh01gQ3zYXg,904,I,186,139,True,False,False,False
O8KIuLWqDQoQsV5rQ6VR2PLrwpY-gjAOH0j6sBBAgKf1XfjsNKfT0Rd-FQ,870,I,252,204,False,False,True,False
7JukAZBv82t-v4HpOaknTQCYFz4ioKhW1ucZXLV7L5XhguU,946,I,309,255,True,False,False,False
3XZ1v7wW09xsqj6jWlboPnEgKOTG9KjWutXeGEQNIVTpZ7tG,1684,I,179,88,True,False,False,False
4e5wTdx1dkTOjWoaPRESbMDMP-h6Mjv46veSw1dWFBwEJoE,905,I,307,280,False,False,True,True
me31aFyA6cKS6HHlSM-O4UcI1baPxeSEzlaYxdHQeqdty5SgNt3ZuhukQg,1030,I,145,93,False,False,False,False
B7WI6l1XgNtJoXXyDd16-_iDzYgHMQpJOF_Y8GJBFT2iI3wAZbc0gJrMoQ,982,I,176,141,True,False,False,False
p6g7IXNzBag_bzZEOS7LFha4sy-8GepLe0MWmwfeH1Nue8U,1009,I,171,119,False,False,False,False
pK267ON5Utn4hBtHvI3q4baphvogLKii7cblDykQ6oiBxu8,855,I,362,319,False,False,True,False
GmLU69GzBst7oezsyT3aI0whDfecAaqvfwXEyX35JUjyNNw,1571,I,301,182,True,False,False,True
0qGExI4mDLAEhok70ApqvXC2u2C6Rg3L3tFQ-1OHQlJii-s0TYnO9ZIpAw,1405,I,292,209,True,False,False,True
eIQwkJqq19RenOrlSaIZTJ0GUrj8wNFpnVoxxUA8VKsbeQ,860,I,265,209,False,False,True,False
AfluqGGctiIHW0H0vqnjrhN1UcYllEi-Hv-i8IkXz5kKOkg,959,I,324,276,True,False,False,True
2Qsgs9163-LzmBIfQjUlHWyITUUUTSxU5XPqFXQFhMUy_1E,1467,I,299,191,True,False,False,False
6LkHNw_C3BNvqjGyb1NJw11KOJZLqnRf86e8i61SZiAjgM8,846,I,179,116,False,False,True,True
VbxBx9mtHm-N4UOICK4HJ8MzlPDHreLx2zjxiZMMFL3GtjsgRWorL7vKcw,957,I,254,218,False,False,True,True
06ThMrQGOKmK1824vrK8qSI9HIBVXpMvoO5tsag_h3JVg5E,964,I,248,218,False,False,False,False
hMJUhZS2vkoCgtc69wFMxS6ywnWoTN22fgUvQqTJoz40HC8,1046,I,511,432,True,False,False,False
cTvsw81lApCILQ8tBQqk8-jht65IUXBlh81wVXETXwMsmw,938,I,264,205,False,False,True,False
j4zfy5f_6bUcxx2ggQgrQjYFULLA1LJBqCB4wRERkiRXmv4,1141,I,191,136,True,False,False,True
hK4BX8pc5rT1RHCIrVmKeZw6F0u2xKRIJRisKner2RNe1p8,1222,I,226,168,True,False,False,True
8XVzNM-XWddRJRUNkBwSPSfO4OTqQJnB4AqKFWIC0mmoctM,840,I,167,136,False,False,True,False
cjGAQ4erz_SlLNC3HaYTT9M9W9s8eJH3v4qOZ83nzd0iKVc,1200,I,183,120,True,False,False,True
xwFZpxlW9R7izTjowDynrjL1EL8Eql0VTdBjGK62C2oLXO8JpW8wBw1eQg,888,I,100,55,False,False,True,True
fF0BqYjmOslJH_UfBN1DJzDNI0e3w9QeF5YUGkV-nwziBj2NMdufx1Kivw,1023,I,196,124,True,False,False,False
Ywh7ZnQyoQHP2EFvPftHDTrVUAqaS2iITwQ1rbKAVKhP9w,820,I,169,125,False,False,False,False
vID6iM3ilMezpsPwLJkG3-YoKznfKOhipW0PUIj152UwUX0,993,I,142,96,False,False,False,False
6I0yAPssG6xCxwGRtLyj9MDO_JGmDBypq_e405gGxpFXZQ,1234,I,108,35,False,False,False,False
rX9uWclEAZZgczh1OV_Dy-eq5hRegkSxpVuTiZW-J-pIri7nFY-lWlvHWQ,1037,I,206,168,False,False,False,False
9-dfpg4zaPdbOAkNDJJg8k8h3_0dwWclOs6PVcXCj6h8K6t5ImzHWCJH8g,1109,I,345,251,True,False,False,True
V8dUJbeKiuoossS4nR3cegVHws5-ptYOgQMCnSCRvnIHhkA,992,I,304,247,True,False,False,False
rUHIaCWnEKi4AJJuua3EXSv4z4F7zkg4Z8qirMcf-iBE1BXA7cvnZdwCdw,1140,I,229,176,True,False,False,False
