summonerId,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
_NslUYCoeKftcbb0Xwsnkq-Y-8xs-OZ8run9fdZSULa4qA,748,I,215,186,False,False,True,False
ZJyxgg2_i-fvAosOiAvL81v-8P-PC_L44NZCTQWgeBfjPw,570,I,244,199,False,False,False,False
6hLgrQCt5PD8HdIZeVL8a0dWkPjaQAwb32suTvg6Tipu7ls,487,I,209,204,False,False,True,False
6YZfAUCmx9PkyBx_M877e6Mw-NnAmKxyZ6vjzLkAvrddmrKC7efreATWAQ,494,I,123,84,False,False,True,False
NRRRRQdDMcVSUGS1FZ-tlLCeUxGf1eFs83JghyGiBtFQ-tg,657,I,261,237,False,False,True,False
S8qCkE3XeR_qMkzoyq0C9D-jJjoxSrz8gtjDDucguBvwVoQ,539,I,169,120,False,False,False,False
pYOuvpazjyy9x59UQi2FK7OQAWJ9bB2YZYixTwbRnzXtmig,616,I,146,98,False,False,False,False
IXy0axiViOQ55M_j31bgejeyhgyad55-gwLVBW_RSIACjlU,529,I,175,136,False,False,True,False
XiE-P2g-xCFwsMn7opsNgE_Bwl2lUaeOxpuwWN1tRc-6xQ,658,I,117,92,False,False,False,False
XVP4xA8TjceN-mlwI4HTMTIhomMeRbJzW5YNIWxBumGNxWk,750,I,363,342,False,False,True,False
dhL22FkFDtZW5s8MeN240P87LLK0W7-st29-xtaP5c7Utio,496,I,216,174,False,False,False,False
y2ZBAduOHOgTs0Tb99iX2VAzBpapb-RUIlY_oEK7pppkDEk,493,I,157,119,False,False,True,False
clViOlzHeDC_wDYe3c9yqXRD7MFV1ugmdpRxUU_p1JgWIoA,877,I,363,306,False,False,True,False
ptZeuO1rBvSaTH28doDAut4u6pe-5SjxmujO9hbb39OE6xM,643,I,290,257,False,False,True,False
mc0iotPgXazLGjgrR5sV7knjuHiKF-JFRGU_kLVG2jvIEQ,609,I,123,84,False,False,True,False
GFolzye9EzSUh6WuM5vNvy0KTercQAzpZuruTYPhmBVGFpVoEbEDTKQvvg,570,I,143,121,False,False,True,False
GcUGXQAXdDjjoTrjHWxNyH5fpk-gZdomCYkwO9ORTJKPLiQ,852,I,268,250,False,False,True,True
tXi9BUi1i_IF2iSKWsge92clRdp4OMR2dTv6-5CXIVs-JQ,530,I,74,28,False,False,True,False
HMEEwBFc0rGj8cgiAL23T0k_oJoPvObkZ2mehJ4lDMix2A,402,I,225,195,False,False,True,False
0Fcr1rpS3_DQ3TqVeCHK7LehnfpPldRno7ULqYK8zFbEZuC68WCV9N1rYg,675,I,172,127,False,False,True,False
q31ekosXqfMTsD4S3PU2qpFall7mKxO3uVMRmTXApNw1BwxO,659,I,202,157,False,False,True,False
tigoPeYKaOYSdbfvj33kb7cOaKXiQzm7oS5iwZEL1jpm2w,659,I,226,190,False,False,True,False
ImlQ35nVSKBWILkYqiy3bUzv_KQrtpUeKphKbUg9nYdlDw,504,I,119,92,False,False,True,True
E_CnQayWq4Drpm1TaINrhyO0GT4veAB9ocJpt0FsPXWVr28,553,I,106,65,False,False,True,False
qX_hqbYch70R-qQGVGVxBcTlDG_goyEhrYvPeRqPvMQ04dk,812,I,183,172,False,False,True,False
HHQ3cK4ym63J0ZzmnQamTtGplSDotpp0ryxweD285JKPkXsm,698,I,170,132,False,False,True,False
oHRmw3ys3BdnT6KRbwoETTHxKaAgMHY7wdU1MCra3T8jk4rO_8GfU_OWFw,516,I,78,48,False,False,True,True
Env8BUKumy1xF9HcJ6gpdEEhPDN5sZOIF68yFKVDbwuiwPDd0y5ilv3WSw,638,I,222,188,True,False,False,False
uB52q592sKnpPv_uI-gfmhkw6MoOtNlazF3QT32YQplqEEBQML0bLfZaRA,665,I,237,186,False,False,True,False
DcfO3IJyrM-zb1WrcgzYOIWvVWIAthItSChb6-83FzmWZuc,557,I,186,142,False,False,True,False
kivyWI8RnnxXAt4X_cNS8xe-x1Fe__AWvL5ETKjRP1swkwL4mtRgz1G08A,406,I,261,225,False,False,True,False
gUK12iyiBFP2Jxr4YupQpzG2fjR4Wz95-q3bQiEMV3vgIPM,687,I,103,61,False,False,False,False
yfw5YxxwjsOzMsYdcKwaixE3N128y0AHjSMgmTO0OhvER2g,797,I,76,36,False,False,True,False
2Dp-7zHit3NJPOfdR_1DQocg2_HyiNE5ggbDYcmmY7XZuw,541,I,91,57,False,False,True,False
FpuP876jXxVDulPbSH1ltvLdkOow6OSROdGJP3MxrNREfgmcPnUabTqFZg,494,I,168,165,False,False,True,False
V0ZY_tuC6LmCV4TMDVMW5o4BvNM5EmHzH0xeH-NFeyxfepftq7duNl2cZA,695,I,128,95,False,False,True,False
ZGeY2zagaIEosTD1vB-bT6VHOt8DWEKPJNQtxIcFvxvkk7M,515,I,170,130,False,False,True,True
bTQ0a4FoYJfOhAEpnWqW9adEsi2PJg_4nc9fia1UkHKCrHs,529,I,142,108,False,False,True,False
82esdeTdoDk27vzPQzO6szZzD5KV509Z9gJ4TYgSpTVMkwll9uR2zGkf5Q,690,I,147,107,False,False,False,False
kXI3eDGpUL6zdSfv7ePxX51u8t5r5tuok4Q9ZqxANKA21g,659,I,187,145,False,False,True,False
XduTpg_7nrkYcqyd2P5nUu3ybgFbFWH6Zvt3kGXIUnqaomU,770,I,264,217,True,False,False,False
N090gbt-39fL3enILCcRyE_pvCHIBxC7d5ixcmHLbAvQEZs,494,I,214,183,False,False,True,False
NDv4ryct2uTZ2VOl18UZXPDKUV3qQwZUiqbGT6WeDDE0fI1OvSOh9jG_Zw,802,I,340,289,False,False,True,False
fQkpLCRRmMjyLE1pXMpM5ZC_uuKtE7_8ivwHEAZQM1L5-Q,523,I,110,81,False,False,True,False
NmMQgwaHgOJdRzSG3no_bplcV7Vo2N8GkqI-rs-w2174YG0,540,I,101,68,False,False,True,False
jdBwKLVubANSHH0b2pQ-l2LC_ouMEAwXdsm3_NTCXMwB0bakNzooLpKWuQ,460,I,126,94,False,False,True,False
BXXpC3bNmkjcYRLKOMxGe7-WrmYRhbt6RXUVmqBIhJr14nmLhnVwW5jDVQ,724,I,178,126,True,False,False,False
XccnH8aZNQHTdZGTVx-OvCE4hBF2ZyCXw_x-vp0EPDlqPlg,597,I,116,78,False,False,False,True
f1v_8zeZEucGbRp02vqLRGUnesr1MzwtNt9rTQWYL7jhZg,528,I,196,145,False,False,False,False
4Iqhun4RBgU-7CSJqoEUbW1coEuZJOkSPEq4tGSDZAe1aOg,605,I,221,184,False,False,False,False
Th2u9ps2hwAv6kyJaMC243T9FA-syXYxYt6bwrrisykKPno,414,I,198,166,False,False,True,False
9d38IMlMWs3Ps037gKlBIKvKrfo5s5JMbiiqlhR5pJr9cTB2tr6pNXPL2w,638,I,272,238,False,False,True,False
hUP7gW7yoHbZHAbu1U7VRLjgDHglo-XBpo3lz7y0fhy9ow,568,I,86,57,False,False,False,False
D99HBuYbi3Ysr2KmI2pcqUSAOVVlDlOucEQbBs7eW32uV3s,741,I,90,41,False,False,True,False
Xu2X-ysss9VY4oE5kyno6S8ZIs5QcJ_yU4qIliEPPFYrHLKf,542,I,104,69,False,False,True,True
Hfu7XmZYbOv054qPfbmM-tHTa-SLgRWKw9WAOBSCNObyU6E,499,I,112,77,False,False,False,False
cfaPhT-gHkn_f4XHXnfy8Q2KoW6teXMvJfwj55_m2pzFEtU,611,I,217,187,False,False,True,False
_3G4IRdjAoQC2xO_OaltlCiwlXhS1LxpHhfT0OBEZ2sZkQ,643,I,229,191,False,False,True,False
gkI0uhAR_B5KHjxjA57-mU9m62MBFBbn043s3iXCaJFGqck,531,I,144,111,False,False,True,False
yuvw4DVR4Lm37FrwFsyAR7KbY4HyKyRQZDYbG1YKCIAHfA,511,I,78,56,False,False,False,False
0QbQELO4GksED0Fb5JBUltXaZv2M7T5TqKi7aV79woEzk5A,511,I,365,325,False,False,True,True
1WpNNvMDuS5x1Mem5RviLR3FXATOKG8tAujsT5bXyLUn5g,577,I,153,128,False,False,False,True
56e53q0XSSndsNsZSUBKnb0_n_ZugldxQ1Ijb3eDWTUjUw,549,I,98,52,False,False,True,False
AOKOtgDNZWJbgAt2xYONKNU7vtYg70cvBQWVK--d0_HzpnQ,646,I,191,158,False,False,False,False
6dbLu1QEkhAy-kRIGiNngAdo4lRaub44_F76DiufBBetM8s,567,I,137,95,False,False,True,False
UsCNa-yp95vEzHgw6Vt7ZV4O2_6XRoKDLtTHweCowmXLsk8,634,I,226,195,False,False,True,False
palk9ZTKpcc_m-dYzIdw7ArjM_FNEUQcrLHsZ1P_p1Poozc,810,I,153,106,False,False,True,True
PxCx_9xpP15gyL_UUqb0ZvV2GF5-3JvivZcC34sCIeK9hnbji_dtbZqFzg,641,I,163,127,False,False,True,True
